'VIRGINIA ALICIA', 'BALASTEGUI PRINCIPE', '1920-07-18'
'EMERENCIANO', 'GAGIU FONOLLOSA', '1934-12-18'
'WALQUIRIA', 'SERRAS GOICOCHEA', '1973-01-03'
'SAFIETOU', 'BERNEDO GODON', '1991-04-12'
'LILIANA VERONICA', 'PLESCAN FEKETE', '1929-03-25'
'LAURA ANDREA', 'DE LOPE CHELLI', '1926-03-29'
'BEATRIZ PINO', 'MAJADAS URIONDO', '1920-09-25'
'UZTARITZ', 'BARRUZ GRAF', '1978-08-23'
'MARIA GRACAS', 'ANTA GABIAN', '1960-01-03'
'ANA CATALINA', 'BOYER CABEDO', '2011-01-06'
'BASILISO', 'ALEMAÑ GUBERT', '1933-08-30'
'JAVIER HERNAN', 'HERBERT SANTILLANA', '1998-10-15'
'MARIA PLACER', 'CHANS FARRERES', '2008-06-11'
'CLEUSA', 'JADAN MAURIZ', '1954-03-02'
'KALTOUMA', 'SUBIRA TXAKARTEGI', '1995-08-04'
'JAVIERA PAZ', 'ESPACIO MAHDI', '1992-11-30'
'WILMER JESUS', 'SALIH PICO', '2004-11-06'
'DAILO', 'BELTRI JAUNARENA', '1926-04-02'
'ELENA DOINA', 'HIERRO LOBON', '1944-09-21'
'RAMONA FLORENTINA', 'BAUDET OUTEDA', '1950-02-15'
'CHEDEY', 'DE ANTONIO CALIANI', '1987-03-26'
'SAMAR', 'TAPIZ YOUNIS', '1981-09-07'
'RAMIRO JAVIER', 'ZUBICOA QUERA', '1946-08-05'
'LOURDES MARIBEL', 'FLORIT VINASCO', '1937-09-04'
'CAYETANA MARIA', 'BELLERA CAMPAYA', '1957-05-25'
'PABLO RAFAEL', 'ESTARELLAS NAZAR', '1931-08-31'
'BOGDAN ION', 'TOLL BERDUGO', '1987-04-20'
'SERGIO SAMUEL', 'HUAMAN URDILLO', '1931-07-22'
'JULIO ADRIAN', 'CAJIDE VICIOSO', '1924-10-27'
'ALEJANDRA MERCEDES', 'TORNOS HAQUE', '2003-01-09'
'MANUEL BENIGNO', 'WILD CARRASQUILLA', '1977-03-06'
'BEATRIZ SARA', 'POGGI PORTOS', '1961-03-20'
'CARMEN MIRELA', 'MATITO PRIALA', '1997-04-09'
'NARINDER', 'ALORDA ANABITARTE', '2011-03-10'
'ANA TAMARA', 'DONGIL BARDO', '1953-03-10'
'HAYDEE', 'FAURE KAMENOVA', '2013-05-23'
'ANGEL LEONIDAS', 'COMALLONGA MILITARU', '1979-06-29'
'MENG', 'GALARZO DELLA', '1930-07-21'
'JUAN BENITO', 'MOTIÑO ABDON', '1925-05-25'
'ANGELA CARMEN', 'KOUTAIBI UBIRIA', '1960-03-20'
'DOUGLAS', 'USED BALLEGA', '1947-08-26'
'ZIRUI', 'CAPITA BARTHE', '1981-11-27'
'GERMAN ALEJANDRO', 'ELORZA ESQUIROL', '1953-03-02'
'PAULA MAR', 'COLINAS LLADOS', '1938-12-20'
'JADEL', 'ARIJON GAVILAN', '1935-10-24'
'DAYAN', 'FRANZON BISBE', '1940-11-25'
'HELEN PATRICIA', 'DEZA BALDERO', '1923-11-19'
'GUILLERMO SALVADOR', 'URIBE ETXEBARRIA BORDES', '1938-06-04'
'STUART', 'IVOVA NICHOLS', '1961-02-25'
'CAROLINA RAQUEL', 'TRENZANO HOMET', '2012-09-03'
'EDUARDO RICARDO', 'PARLADE PATRU', '1945-05-05'
'RAMON PABLO', 'VILLALVILLA LATIF', '2013-10-04'
'HUANG', 'LOBEJON MEDRANDA', '1955-04-10'
'ROMAYSAA', 'MORILLO DOMPER', '2005-07-22'
'MARIA CARMEN ROSARIO', 'BERRUETA PREIXENS', '1980-06-15'
'YAIZA', 'CORCOLES ESCUELA', '1954-11-19'
'SAIM', 'VEGAZO RODIEL', '2011-08-10'
'HUMA', 'VARES BALDELLOU', '1956-11-11'
'IKER FRANCISCO', 'PACHECA PIRO', '1973-02-28'
'TALLA', 'INCERA MURES', '1955-02-12'
'FREDY ALBERTO', 'EREÑO BONJORN', '1999-10-02'
'ANA OLIVA', 'ALMENDROS MOGOLLON', '2002-09-27'
'WALED', 'HABIBI CHAO', '1928-02-23'
'SOURIA', 'DIEZ DE ULZURRUN LACHHAB', '2011-04-03'
'PERGENTINA', 'ANTIGUA ARAMBILLET', '2014-02-18'
'JUAN PABLO', 'JUSTES ORTAL', '1937-04-08'
'GIAN PIERO', 'MADERO BASSE', '1975-05-14'
'SEBASTIAN SANTIAGO', 'ANGUAS MARCHAL', '1935-02-28'
'LUIS ARSENIO', 'VITE ADMETLLA', '2007-07-14'
'MEIYAN', 'ELCACHO SIBAJA', '1970-01-14'
'PLACIDO MIGUEL', 'ZHIVKOV GIRONES', '1944-03-11'
'FLORINA ALEXANDRA', 'MOLINET TELO', '1958-03-12'
'JIHAD', 'TRIJUEQUE TEMBRAS', '1970-09-06'
'MANUEL LAUREANO', 'KEITA REGULEZ', '1941-11-26'
'MARCIA ELIZABETH', 'FERNANDEZ DE BETOÑO CANTONERO', '1918-07-02'
'ARMANDO ANGEL', 'CALLEALTA BOLTA', '1940-04-07'
'PAUL DANIEL', 'CAGIGAL FORONDA', '1986-04-01'
'WLODZIMIERZ', 'MADRENAS TUSELL', '1983-08-11'
'ADRIAN DAN', 'GHERMAN SAN', '1999-11-30'
'ANGIE VALERIA', 'LAHLAL REGUEIRA', '2015-04-24'
'ELENA AURELIA', 'COTINO CARANDE', '1954-07-31'
'TLAITMAS', 'CORDERO ISO', '1937-09-26'
'KATHYA', 'CROITORU POLANIA', '1949-03-31'
'MARIA CARMEN AMELIA', 'VAELLO BERIAIN', '1964-10-11'
'AIZANE', 'SANCHEZ PABLO VALLVERDU', '1995-07-19'
'EFREN ANTONIO', 'AINA ABOLLO', '1958-05-21'
'BERNABELA', 'PELECHA ORRICO', '1959-11-29'
'MARIA MARGARIDA', 'ZANCADA WONG', '1975-09-27'
'XUJIE', 'CONTESTI NAVASCUEZ', '1968-03-05'
'MARIA GEMA', 'ALMENDRAS SORROSAL', '1976-01-18'
'ASIF', 'PORTEROS MESAS', '1994-04-01'
'DANIEL AITOR', 'MARTORELL CAMPANO', '1955-04-09'
'JHOAN SEBASTIAN', 'MILLER ANDA', '1918-11-01'
'MARIA ZENEIDA', 'TIRADO ACHALANDABASO', '1982-02-08'
'LUIS CELESTINO', 'NINE PONTES', '2015-07-13'
'FERNANDO CESAR', 'DUET TURPIN', '1992-10-06'
'VICTORIA GABRIELA', 'EZCURRA ESTAIRE', '1928-02-08'
'PAOLA TERESA', 'CEBOLLA CORCHO', '1983-07-15'
'ROGER DANIEL', 'CABEZALI BALAO', '1925-08-03'
'JUANA MARTINA', 'AYMAMI EL KADAOUI', '2014-02-02'
'FACUNDO EZEQUIEL', 'GURILLO GORDALIZA', '1927-11-06'
'IOANA ANCA', 'PANDELO CASABELLA', '1958-08-24'
'CLAUDIA IONELA', 'JOYERA LAZO', '1986-01-25'
'JONATHAN MARK', 'GHANI BARO', '1990-08-14'
'JACQUELINE MARGARET', 'VALDEARCOS ALUSTIZA', '1959-04-11'
'OCTAVIANA', 'ZABARTE BOIXADOS', '1937-10-12'
'ANDREEA LAURA', 'SAUCEDO LLORENS', '1964-08-27'
'GERMAIN', 'SAMAKE CIVIDANES', '1925-06-25'
'GRACIELA VICTORIA', 'CAVANILLAS PALERMO', '1922-06-22'
'PABLO VINICIO', 'OBIOLS DIAZ DEL RIO', '2006-05-30'
'FLORENTINA RAMONA', 'VILLAR ERRO', '1965-08-12'
'MARIANA MARIA', 'BENAVIDES BURCH', '1959-10-26'
'ANJU', 'LLIBRE ESCLAPES', '1929-03-11'
'ANTONIO CLEMENTE', 'JORRO IDIAZABAL', '1974-03-18'
'MATILDE ESPERANZA', 'CABANO SABATES', '1943-08-15'
'ANGELA RAMONA', 'LECETA LEIRO', '1933-12-11'
'OUAFA', 'BECEDAS IBARRECHE', '1976-07-12'
'ELVIS ALBERTO', 'DOTEL TIELVE', '1946-04-21'
'AMADOR ANTONIO', 'CENZUAL ANTICH', '1918-01-05'
'MARIA CARMEN MARTA', 'EGEA PERANDONES', '1992-03-07'
'WALTER RODRIGO', 'ORQUIN PUÑET', '1922-07-28'
'CATALINA ROSARIO', 'LLARIO SANCHEZ MATAMOROS', '1996-03-31'
'SUSANA LIDIA', 'MUROS MAGALDI', '1988-02-14'
'ISABEL RAQUEL', 'ALHAMA TOUIL', '1927-03-28'
'MIHAELA RODICA', 'RODRIGUEZ DE GUZMAN SANTAEUFEMIA', '1924-12-07'
'ALEKSI', 'EL BOUAZZATI TRASTOY', '1962-01-10'
'JESSICA ESTEFANIA', 'BOUHOUCH CAMAS', '1962-11-22'
'CAROLINE', 'SERRANO CARCHANO', '2012-12-14'
'FLORIN MIRCEA', 'STROIE DIMITROV', '1950-12-11'
'MATXALEN', 'GIL DELGADO OUTUMURO', '1952-09-03'
